,timestamp,blocktime,hashrate,median_single_trans,fee_percent_in_reward,fees,price,total_send_usd,transaction_number,diff
160,2016-06-09,0.244,3423547415654.0,13.285,0.0912,0.0101,14.051,12578638.0,40145.0,46862157371591.0
161,2016-06-10,0.236,3555787603259.0,13.842,0.0828,0.0102,13.801,7274184.0,36901.0,46817185510805.0
162,2016-06-11,0.237,3581064327399.0,11.301,0.0888,0.0101,14.675,16143119.0,42581.0,47367807453292.0
163,2016-06-12,0.237,3715149232170.0,16.594,0.112,0.0133,16.59,19593784.0,46185.0,49146195319201.0
164,2016-06-13,0.239,3749406503192.0,16.92,0.117,0.0139,18.159,25689352.0,50335.0,49640268914919.0
165,2016-06-14,0.24,3718384153629.0,18.318,0.0938,0.0129,18.319,16819918.0,43251.0,49733793897128.0
166,2016-06-15,0.239,3717038953443.0,19.523,0.125,0.0183,19.463,28847993.0,43392.0,49684925896551.0
167,2016-06-16,0.246,3856724752027.0,5.215,0.643,0.0597,17.323,72877236.0,66558.0,48374588782332.0
168,2016-06-17,0.245,3763134226515.0,7.916,0.746,0.0553,12.867,66188322.0,63083.0,45684736911911.0
169,2016-06-18,0.231,3854049984436.0,9.709,0.159,0.0129,12.175,22093268.0,51035.0,49439350923956.0
170,2016-06-19,0.242,3813587474124.0,8.304,0.159,0.0129,11.714,30635007.0,47118.0,51170755663800.0
171,2016-06-20,0.24,3755188733715.0,11.957,0.221,0.0209,11.96,21374632.0,47323.0,49998634763390.0
172,2016-06-21,0.235,3913920422087.0,14.186,0.153,0.015,14.186,29271071.0,48615.0,51003976141944.0
173,2016-06-22,0.24,3993617789516.0,13.009,0.0984,0.00992,13.002,23102896.0,41908.0,53456647788164.0
174,2016-06-23,0.238,3987681765878.0,7.111,0.12,0.012,13.851,15559451.0,45331.0,52791881070021.0
175,2016-06-24,0.24,3971150219540.0,14.171,0.0878,0.0109,14.166,17813419.0,36684.0,53445634197051.0
176,2016-06-25,0.238,4090308262819.0,7.945,0.0834,0.00919,13.917,8665947.0,41613.0,53892495389683.0
177,2016-06-26,0.238,4165065826116.0,13.856,0.0849,0.00966,13.858,9044677.0,39663.0,55306308815143.0
178,2016-06-27,0.237,4215914871751.0,13.095,0.0981,0.00975,13.087,20405642.0,43089.0,55833352404452.0
179,2016-06-28,0.24,4115126939838.0,3.932,0.174,0.0138,12.148,15402527.0,49897.0,54938285777453.0
180,2016-06-29,0.241,4138141994846.0,1.244,0.267,0.0171,12.432,10801247.0,63952.0,54998811559619.0
181,2016-06-30,0.235,4234255557706.0,12.126,0.136,0.0138,12.127,10427823.0,40085.0,55250198968443.0
182,2016-07-01,0.24,4246288363046.0,11.995,0.0751,0.00744,11.989,5549730.0,39257.0,56611950439754.0
183,2016-07-02,0.238,4343521691235.0,11.858,0.0941,0.00916,11.858,6095662.0,39757.0,57748654813312.0
184,2016-07-03,0.237,4332688742843.0,11.532,0.0819,0.00773,11.537,13501633.0,39950.0,57434077769050.0
185,2016-07-04,0.242,4334015062396.0,10.462,0.0936,0.00803,10.457,37645965.0,39270.0,58422132175057.0
186,2016-07-05,0.237,4336923604526.0,10.581,0.09,0.00828,10.57,11222910.0,37900.0,57054356483459.0
